id	title	year	rated	released	runtime	genre	director	writer	actors	plot	language	country	awards	poster	metascore	imdb_rating	imdb_votes	imdb_id	tomato_meter	tomato_image	tomato_rating	tomato_reviews	tomato_fresh	tomato_rotten	tomato_consensus	tomato_user_meter	tomato_user_rating	tomato_user_reviews	dvd	boxoffice	production	website
30	American Psycho	2000	R	14 Apr 2000	102 min	Crime, Drama	Mary Harron	Bret Easton Ellis (novel), Mary Harron (screenplay), Guinevere Turner (screenplay)	Christian Bale, Justin Theroux, Josh Lucas, Bill Sage	Patrick Bateman, a young, well to do man working on wall street at his father's company kills for no reason at all. As his life progresses his hatred for the world becomes more and more intense.	English, Spanish, Cantonese	USA	4 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMjIyMTYwMTI0N15BMl5BanBnXkFtZTgwNTU2NTYxMTE@._V1_SX300.jpg	64	7.6	306516	tt0144084	67	fresh	6.2	142	95	47	If it falls short of the deadly satire of Bret Easton Ellis's novel, American Psycho still finds its own blend of horror and humor, thanks in part to a fittingly creepy performance by Christian Bale.	85	3.6	300206	05 Sep 2000	N/A	Lions Gate Films	http://www.americanpsycho.com
31	American Splendor	2003	R	12 Sep 2003	101 min	Biography, Comedy, Drama	Shari Springer Berman, Robert Pulcini	Harvey Pekar (comic book series American Splendor), Joyce Brabner (comic book series Our Cancer Year), Shari Springer Berman, Robert Pulcini	Chris Ambrose, Joey Krajcar, Josh Hutcherson, Cameron Carter	Harvey Pekar is file clerk at the local VA hospital. His interactions with his co-workers offer some relief from the monotony, and their discussions encompass everything from music to the decline of American culture to new flavors of jellybeans and life itself. At home, Harvey fills his days with reading, writing and listening to jazz. His apartment is filled with thousands of books and LPs, and he regularly scours Cleveland's thrift stores and garage sales for more, savoring the rare joy of a 25-cent find. It is at one of these junk sales that Harvey meets Robert Crumb, a greeting card artist and music enthusiast. When, years later, Crumb finds international success for his underground comics, the idea that comic books can be a valid art form for adults inspires Harvey to write his own brand of comic book. An admirer of naturalist writers like Theodore Dreiser, Harvey makes his American Splendor a truthful, unsentimental record of his working-class life, a warts-and-all self portrait. First published in 1976, the comic earns Harvey cult fame throughout the 1980s and eventually leads him to the sardonic Joyce Barber, a partner in a Delaware comic book store who end ups being Harvey's true soul mate as they experience the bizarre byproducts of Harvey's cult celebrity stature.	English	USA	Nominated for 1 Oscar. Another 33 wins & 39 nominations.	http://ia.media-imdb.com/images/M/MV5BMjA0MjYxNjY1MV5BMl5BanBnXkFtZTcwNDkwMjAwMQ@@._V1_SX300.jpg	90	7.5	39514	tt0305206	94	certified	8.3	181	170	11	Exhilarating both stylistically and for its entertaining, moving portrayal of an everyman, American Splendor is a portrait of a true underground original.	86	3.7	43978	03 Feb 2004	$6.0M	Fine Line Features	http://www.americansplendormovie.com/main.html
32	An American Werewolf in London	1981	R	21 Aug 1981	97 min	Comedy, Horror	John Landis	John Landis	Joe Belcher, David Naughton, Griffin Dunne, David Schofield	Two American college students are on a walking tour of Britain and are attacked by a werewolf. One is killed, the other is mauled. The werewolf is killed but reverts to its human form, and the local townspeople are unwilling to acknowledge its existence. The surviving student begins to have nightmares of hunting on four feet at first but then finds that his friend and other recent victims appear to him, demanding that he commit suicide to release them from their curse, being trapped between worlds because of their unnatural deaths.	English	UK, USA	Won 1 Oscar. Another 2 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BNTYzMDk3MzIyNV5BMl5BanBnXkFtZTgwOTM2OTE4MzE@._V1_SX300.jpg	60	7.6	55678	tt0082010	89	certified	7.8	46	41	5	Terrifying and funny in almost equal measure, John Landis' horror-comedy crosses genres while introducing Rick Baker's astounding make-up effects.	85	3.4	113939	09 Dec 1997	N/A	Universal Pictures	http://www.americanwerewolf.com
33	An Education	2009	PG-13	05 Feb 2010	100 min	Drama	Lone Scherfig	Lynn Barber (memoir), Nick Hornby (screenplay)	Carey Mulligan, Olivia Williams, Alfred Molina, Cara Seymour	In the early 1960's, sixteen year old Jenny Mellor lives with her parents in the London suburb of Twickenham. On her father's wishes, everything that Jenny does is in the sole pursuit of being accepted into Oxford, as he wants her to have a better life than he. Jenny is bright, pretty, hard working but also naturally gifted. The only problems her father may perceive in her life is her issue with learning Latin, and her dating a boy named Graham, who is nice but socially awkward. Jenny's life changes after she meets David Goldman, a man over twice her age. David goes out of his way to show Jenny and her family that his interest in her is not improper and that he wants solely to expose her to cultural activities which she enjoys. Jenny quickly gets accustomed to the life to which David and his constant companions, Danny and Helen, have shown her, and Jenny and David's relationship does move into becoming a romantic one. However, Jenny slowly learns more about David, and by association Danny and Helen, and specifically how they make their money. Jenny has to decide if what she learns about them and leading such a life is worth forgoing her plans of higher eduction at Oxford.	English, French	UK, USA	Nominated for 3 Oscars. Another 41 wins & 78 nominations.	http://ia.media-imdb.com/images/M/MV5BMTg4NjgzOTc0MF5BMl5BanBnXkFtZTcwOTc2OTE3Mg@@._V1_SX300.jpg	85	7.3	102457	tt1174732	94	certified	7.8	179	169	10	Though the latter part of the film may not appeal to all, An Education is a charming coming-of-age tale powered by the strength of relative newcomer Carey Mulligan's standout performance.	80	3.8	53715	30 Mar 2010	$12.5M	Sony Classics	http://www.sonyclassics.com/aneducation/
34	Analyze That	2002	R	06 Dec 2002	96 min	Comedy, Crime	Harold Ramis	Kenneth Lonergan (characters), Peter Tolan (characters), Peter Steinfeld, Harold Ramis, Peter Tolan	Robert De Niro, Billy Crystal, Lisa Kudrow, Joe Viterelli	The mafia's Paul Vitti is back in prison and will need some serious counseling when he gets out. Naturally, he returns to his analyst Dr. Ben Sobel for help and finds that Sobel needs some serious help himself as he has inherited the family practice, as well as an excess stock of stress.	English	USA, Australia	N/A	http://ia.media-imdb.com/images/M/MV5BMTc0OTYwMzQ5OF5BMl5BanBnXkFtZTYwMzQyMDg5._V1_SX300.jpg	37	5.9	62927	tt0289848	27	rotten	4.8	148	40	108	The one joke premise is stretched a bit thin in this messy sequel, but a few laughs can be had here and there.	39	2.9	189981	13 May 2003	$32.1M	Warner Bros.	http://analyzethatmovie.com
35	Analyze This	1999	R	05 Mar 1999	103 min	Comedy, Crime	Harold Ramis	Kenneth Lonergan (story), Peter Tolan (story), Peter Tolan (screenplay), Harold Ramis (screenplay), Kenneth Lonergan (screenplay)	Robert De Niro, Billy Crystal, Lisa Kudrow, Chazz Palminteri	Ben Sobol, Psychiatrist, has a few problems: His son spies on his patients when they open up their heart, his parents don't want to attend his upcoming wedding and his patients' problems don't challenge him at all. Paul Vitti, Godfather, has a few problems as well: Sudden anxiety attacks in public, a certain disability to kill people and his best part ceasing service when needed. One day, Ben unfortunately crashes into one of Vitti's cars. The exchange of Ben's business card is followed by a business visit of Don Paul Vitti himself, who wants to be free of inner conflict within two weeks, before all the Mafia Dons meet. Now, Ben Sobol feels somewhat challenged, as his wedding is soon, his only patient keeps him busy by regarding Ben's duty as a 24 hour standby and the feds keep forcing him to spy on Paul Vitti. And how do you treat a patient who usually solves problems with a gun?	English	USA, Australia	Nominated for 2 Golden Globes. Another 4 wins & 5 nominations.	http://ia.media-imdb.com/images/M/MV5BMTQxNjM3ODQ0OF5BMl5BanBnXkFtZTgwNjk1Mzk5MDE@._V1_SX300.jpg	61	6.7	113437	tt0122933	69	fresh	6.5	101	70	31	Analyze This is a satisfying comedy with great performances by De Niro and Crystal.	62	3.1	223988	17 Aug 1999	N/A	Warner Bros. Pictures	http://www.analyzethis.com
36	Anastasia	1997	G	21 Nov 1997	94 min	Animation, Adventure, Drama	Don Bluth, Gary Goldman	Susan Gauthier (screenplay), Bruce Graham (screenplay), Bob Tzudiker (screenplay), Noni White (screenplay), Eric Tuchman (animation adaptation)	Meg Ryan, John Cusack, Kelsey Grammer, Christopher Lloyd	The daughter of the last Russian Tsar, Nicolas II, Anastasia is found by two Russian con men, Dimitri and Vladimir, who seek the reward that her grandmother, the Dowager Empress Marie, promised to the ones who'll find her. But the evil mystic of the Tsar family, Rasputin, still wants the Romanov family to be destroyed forever.	English, Russian, French	USA, Canada, UK	Nominated for 2 Oscars. Another 9 wins & 20 nominations.	http://ia.media-imdb.com/images/M/MV5BMTYwNTA4NzY1N15BMl5BanBnXkFtZTYwODE1NzM5._V1_SX300.jpg	59	7.1	73301	tt0118617	86	certified	7.1	51	44	7	Beautiful animation, an affable take on Russian history, and strong voice performances make Anastasia a winning first film from Fox animation studios.	77	3.3	431391	16 Nov 1999	N/A	20th Century Fox	N/A
37	Angel Eyes	2001	R	18 May 2001	102 min	Drama, Romance, Thriller	Luis Mandoki	Gerald Di Pego	Jennifer Lopez, Jim Caviezel, Jeremy Sisto, Terrence Howard	While pursuing a suspect one night, Chicago Police officer Sharon Pogue nearly becomes the victim of a fatal ambush. A mysterious stranger, Catch intervenes, disarms the assassin and saves Sharon's life. Is it a stroke of luck? A twist of fate? Or just a concerned citizen who happened to pass by at the right time and wasn't afraid to get involved? Maybe, But Sharon and Catch have met once before. As the two fall in love, they discover the truth about each other and are forced to deal with the secrets from their past.	English	USA	1 win & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BNDQwNzI2OTY2Ml5BMl5BanBnXkFtZTYwOTI3ODc5._V1_SX300.jpg	39	5.6	18637	tt0225071	N/A	N/A	N/A	N/A	N/A	N/A	N/A	100	4.1	51	26 Oct 2004	N/A	Bandai	N/A
38	Annie Hall	1977	PG	20 Apr 1977	93 min	Comedy, Drama, Romance	Woody Allen	Woody Allen, Marshall Brickman	Woody Allen, Diane Keaton, Tony Roberts, Carol Kane	Alvy Singer, a forty year old twice divorced, neurotic, intellectual Jewish New York stand-up comic, reflects on the demise of his latest relationship, to Annie Hall, an insecure, flighty, Midwestern WASP aspiring nightclub singer. Unlike his previous relationships, Alvy believed he may have worked out all the issues in his life through fifteen years of therapy to make this relationship with Annie last, among those issues being not wanting to date any woman that would want to date him, and thus subconsciously pushing those women away. Alvy not only reviews the many ups and many downs of their relationship, but also reviews the many facets of his makeup that led to him starting to date Annie. Those facets include growing up next to Coney Island in Brooklyn, being attracted to the opposite sex for as long as he can remember, and enduring years of Jewish guilt with his constantly arguing parents.	English, German	USA	Won 4 Oscars. Another 27 wins & 7 nominations.	http://ia.media-imdb.com/images/M/MV5BMTU1NDM2MjkwM15BMl5BanBnXkFtZTcwODU3OTYwNA@@._V1_SX300.jpg	N/A	8.1	162533	tt0075686	98	certified	9	64	63	1	Filled with poignant performances and devastating humor, Annie Hall represents a quantum leap for Woody Allen and remains an American classic.	93	3.9	150995	28 Apr 1998	N/A	United Artists	N/A
39	The Anniversary Party	2001	R	23 May 2001	115 min	Drama, Comedy	Alan Cumming, Jennifer Jason Leigh	Jennifer Jason Leigh, Alan Cumming	Alan Cumming, Jennifer Jason Leigh, Otis, Steven Freedman	Celebrity couple Joe and Sally Therrian are going through yet another rough stage in their six-year marriage: while Joe's novels have been climbing higher and higher on the best-seller lists, Sally's film career has been steadily sinking into oblivion. Joe's been given the rights to cast and direct the screenplay of his latest book, but rather than resurrect Sally's career by casting her in the lead role, he's given it to Sally's rival, Skye Davidson. Even worse, he's invited Skye to their anniversary bash. Will the marriage, or anything else for that matter, survive the party?	English	USA	2 wins & 4 nominations.	http://ia.media-imdb.com/images/M/MV5BMzY1NjM2NDk4N15BMl5BanBnXkFtZTYwNzg2MTc5._V1_SX300.jpg	56	6.4	7199	tt0254099	60	fresh	5.8	111	67	44	This Party features a killer cast and many funny scenes, but the movie feels like nothing more than an excuse for the actors to emote.	58	3.2	6393	15 Jan 2002	$3.0M	Fine Line Features	http://www.theanniversaryparty.com
40	Anonymous	2011	PG-13	28 Oct 2011	130 min	Drama, History, Thriller	Roland Emmerich	John Orloff	Rhys Ifans, Vanessa Redgrave, Sebastian Armesto, Rafe Spall	Edward De Vere, Earl of Oxford, is presented as the real author of Shakespeare's works. Edward's life is followed through flashbacks from a young child, through to the end of his life. He is portrayed as a child prodigy who writes and performs A Midsummer Night's Dream for a young Elizabeth I. A series of events sees his plays being performed by a frontman, Shakespeare.	English, French, Italian, Greek,  Ancient (to 1453)	UK, Germany, USA	Nominated for 1 Oscar. Another 7 wins & 8 nominations.	http://ia.media-imdb.com/images/M/MV5BMjAxOTA5MTMxOV5BMl5BanBnXkFtZTcwNDI4MzU0NQ@@._V1_SX300.jpg	50	6.9	31675	tt1521197	46	rotten	5.5	168	78	90	Roland Emmerich delivers his trademark visual and emotional bombast, but the more Anonymous stops and tries to convince the audience of its half-baked theory, the less convincing it becomes.	53	3.3	20010	07 Feb 2012	$4.5M	Sony Pictures	http://www.anonymous-movie.com/
41	Antitrust	2001	PG-13	12 Jan 2001	109 min	Crime, Drama, Thriller	Peter Howitt	Howard Franklin	Ryan Phillippe, Rachael Leigh Cook, Claire Forlani, Tim Robbins	This movie is the fictional story of computer programming genius Milo Hoffman after graduating from Stanford and getting out into the competitive world of computer software. In his contemplation of where to begin his career, he is contacted by Gary Winston whose character is loosely based on Bill Gates. Winston is the CEO of a company called NURV, and they are on the brink of completing the global communication's system, Synapse. They need Hoffman to help them meet their launch date, so after much thought and with the full support of his girlfriend Alice, he accepts the job. Tragedy soon after strikes and Milo becomes suspicious of the company he has been wrapped up in. He learns that trusting anyone could be a mistake, and that nothing is as it seems.	English	USA	2 wins & 3 nominations.	http://ia.media-imdb.com/images/M/MV5BMTk4NzE4MzQ1MF5BMl5BanBnXkFtZTcwMzkxNjUyMQ@@._V1_SX300.jpg	31	6.1	24338	tt0218817	24	rotten	4	106	25	81	Due to its use of cliched and ludicrous plot devices, this thriller is more predictable than suspenseful. Also, the acting is bad.	51	2.8	46173	26 Dec 2001	$11.0M	MGM/UA	http://www.mgm.com/antitrust
